epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,14557.8,0.3472,0.42963,0.33628,0.96386,0.95011,0.99649,0.97995,0.86547,0.94162,0.98729,0.96726,0.82435,0.54763,0.36532,0.4847,1.00154,0.00043325,0.00043325,0.00043325
68,14771.8,0.3415,0.39965,0.33592,0.96093,0.95687,1,0.98619,0.87933,0.95231,0.98381,0.97916,0.85133,0.55105,0.33224,0.48175,1.02044,0.000420875,0.000420875,0.000420875
69,14983.6,0.36492,0.4657,0.34759,0.98137,0.99225,1,0.995,0.89149,0.98381,0.99153,0.98835,0.85894,0.53176,0.35309,0.45842,1.0209,0.0004085,0.0004085,0.0004085
70,15198.5,0.33782,0.40956,0.33647,0.96393,0.99336,0.99949,0.995,0.89528,0.98913,0.99525,0.99278,0.8813,0.51792,0.32379,0.47457,0.9972,0.000396125,0.000396125,0.000396125
71,15413.8,0.34574,0.42579,0.33564,0.97066,0.9925,1,0.99475,0.89476,0.98828,0.99576,0.99183,0.86786,0.50495,0.32733,0.44701,0.97221,0.00038375,0.00038375,0.00038375
72,15627,0.34454,0.44291,0.33312,0.967,0.98926,0.99852,0.991,0.88832,0.98926,0.99852,0.991,0.86298,0.52078,0.33765,0.44365,0.97676,0.000371375,0.000371375,0.000371375
73,15842.4,0.34702,0.43123,0.33186,0.97334,0.9953,0.99576,0.99496,0.9041,0.9953,0.99576,0.99496,0.8652,0.51043,0.32968,0.43307,0.95441,0.000359,0.000359,0.000359
74,16058.1,0.33066,0.40294,0.3261,0.9593,0.99347,1,0.99496,0.89929,0.99347,1,0.99496,0.87206,0.50083,0.33206,0.42004,0.95964,0.000346625,0.000346625,0.000346625
75,16273.2,0.32177,0.4176,0.31922,0.95348,0.99748,0.99745,0.995,0.90764,0.99748,0.99745,0.995,0.88663,0.50133,0.31684,0.43138,0.95586,0.00033425,0.00033425,0.00033425
76,16487.5,0.32193,0.4031,0.31599,0.95958,0.99504,0.9994,0.995,0.90152,0.99504,0.9994,0.995,0.87833,0.50116,0.31563,0.43003,0.9884,0.000321875,0.000321875,0.000321875
77,16700.5,0.32854,0.39813,0.3196,0.96159,0.99624,0.99576,0.99496,0.90905,0.99624,0.99576,0.99496,0.86534,0.47436,0.31886,0.42391,0.9363,0.0003095,0.0003095,0.0003095
78,16912.5,0.32054,0.38853,0.30937,0.95147,0.99716,0.99955,0.995,0.90592,0.99716,0.99955,0.995,0.87674,0.46835,0.30504,0.42442,0.92564,0.000297125,0.000297125,0.000297125
79,17125.2,0.32079,0.38855,0.31367,0.94966,0.99305,0.99397,0.99492,0.89025,0.99305,0.99397,0.99492,0.87124,0.50287,0.31039,0.44031,0.96466,0.00028475,0.00028475,0.00028475
80,17339.8,0.31661,0.40523,0.31342,0.95317,0.99451,1,0.995,0.9004,0.99451,1,0.995,0.8757,0.49619,0.3105,0.4185,0.95075,0.000272375,0.000272375,0.000272375
81,17552.7,0.32517,0.40628,0.31509,0.95485,0.99744,1,0.995,0.90598,0.99321,0.99576,0.99292,0.8676,0.48535,0.32571,0.40476,0.93251,0.00026,0.00026,0.00026
82,17768.4,0.31699,0.42165,0.30622,0.94663,0.99763,1,0.995,0.90729,0.99763,1,0.995,0.87292,0.49295,0.31857,0.40856,0.93214,0.000247625,0.000247625,0.000247625
83,17983.3,0.31004,0.41068,0.29684,0.94447,0.99645,1,0.995,0.90748,0.99645,1,0.995,0.8799,0.48666,0.31431,0.42417,0.95467,0.00023525,0.00023525,0.00023525
84,18193.7,0.30593,0.38168,0.29858,0.94713,0.99711,1,0.995,0.91073,0.99711,1,0.995,0.88547,0.45414,0.30959,0.40682,0.93869,0.000222875,0.000222875,0.000222875
85,18409,0.3126,0.3863,0.30432,0.95382,0.99516,0.99725,0.995,0.91519,0.99516,0.99725,0.995,0.88701,0.45349,0.31349,0.40694,0.95254,0.0002105,0.0002105,0.0002105
86,18627.9,0.30011,0.39902,0.29287,0.94448,0.99358,1,0.995,0.9081,0.99358,1,0.995,0.87905,0.46988,0.30452,0.41835,0.95248,0.000198125,0.000198125,0.000198125
87,18844.7,0.30046,0.37951,0.29667,0.93985,0.99226,0.99576,0.99475,0.91383,0.99226,0.99576,0.99475,0.88429,0.46087,0.31084,0.40127,0.93384,0.00018575,0.00018575,0.00018575
88,19060.3,0.31109,0.40237,0.30344,0.93749,0.99481,1,0.995,0.90174,0.99481,1,0.995,0.88191,0.47817,0.30243,0.40074,0.91784,0.000173375,0.000173375,0.000173375
89,19273.7,0.29939,0.39662,0.29714,0.93813,0.9971,1,0.995,0.90707,0.9971,1,0.995,0.87857,0.47171,0.30426,0.3907,0.91578,0.000161,0.000161,0.000161
90,19488.2,0.29558,0.3806,0.29038,0.92969,0.99761,1,0.995,0.9104,0.99761,1,0.995,0.87923,0.45782,0.30644,0.38234,0.90851,0.000148625,0.000148625,0.000148625
91,19691.2,0.47469,0.34269,0.43967,0.93341,0.96812,0.99576,0.99496,0.91542,0.96812,0.99576,0.99496,0.89532,0.44865,0.3294,0.4404,0.96622,0.00013625,0.00013625,0.00013625
92,19894.2,0.44565,0.35909,0.39786,0.94168,0.98199,0.99929,0.995,0.91521,0.98199,0.99929,0.995,0.89143,0.44139,0.31246,0.42572,0.95315,0.000123875,0.000123875,0.000123875
93,20096.1,0.42172,0.31287,0.373,0.91515,0.99204,1,0.99496,0.92026,0.99204,1,0.99496,0.89614,0.44817,0.30634,0.41424,0.94611,0.0001115,0.0001115,0.0001115
94,20297.9,0.45127,0.33116,0.38783,0.90692,0.99768,1,0.995,0.92209,0.99768,1,0.995,0.89426,0.4298,0.30111,0.39193,0.93069,9.9125e-05,9.9125e-05,9.9125e-05
95,20500.7,0.40549,0.31715,0.35894,0.90667,0.99751,1,0.995,0.92723,0.99751,1,0.995,0.90178,0.42142,0.3017,0.38488,0.91854,8.675e-05,8.675e-05,8.675e-05
96,20706.6,0.41862,0.31433,0.36767,0.89105,0.99733,1,0.995,0.92266,0.99733,1,0.995,0.89046,0.41909,0.3049,0.37245,0.92191,7.4375e-05,7.4375e-05,7.4375e-05
97,20907.8,0.40945,0.31533,0.35507,0.90322,0.99758,1,0.995,0.91633,0.99758,1,0.995,0.88482,0.42391,0.30512,0.36746,0.92167,6.2e-05,6.2e-05,6.2e-05
98,21110.3,0.39187,0.30799,0.34701,0.87656,0.9976,1,0.995,0.91557,0.9976,1,0.995,0.88938,0.42521,0.30811,0.36799,0.92512,4.9625e-05,4.9625e-05,4.9625e-05
99,21315.5,0.40167,0.31153,0.35381,0.88324,0.99718,1,0.995,0.92189,0.99718,1,0.995,0.88857,0.41645,0.30477,0.36426,0.91373,3.725e-05,3.725e-05,3.725e-05
100,21516.7,0.39505,0.31006,0.34829,0.89501,0.99691,1,0.995,0.92358,0.99691,1,0.995,0.89071,0.4099,0.30145,0.365,0.90857,2.4875e-05,2.4875e-05,2.4875e-05
